Inspection ID,Establishment ID,Name,Inspection Date,Inspection Type,Inspector ID,Priority Violations,Foundation Violations,Core Violations,Total Corrected Priority + Foundation Violations,In Compliance
48197,4781,Bucharest Grill,06/28/2019,Routine Inspection,87,0,0,2,0,Yes
48194,1144,Church's Fried Chicken #785,06/27/2019,Routine Inspection,141,0,1,2,0,No
48184,51622821,Destination 1905,06/27/2019,Routine Inspection,87,0,0,1,0,Yes
48192,3711,Little Caesar's #166,06/27/2019,Routine Inspection,140,1,1,1,0,No
48183,5297,Papa's Pizza,06/27/2019,Supv recurringLetter,95,0,0,0,0,Yes
48193,1304,Popeye's Chicken & Biscuits,06/27/2019,Complaint,141,1,0,1,0,No
48191,4069,Pupuseria Y Restaurant Sal,06/27/2019,Routine Inspection,140,0,2,3,0,No
48180,2362,Shirley Nelson's E & S Carryout,06/27/2019,Routine Inspection,141,1,0,0,0,No
48196,4841,Subway #36794,06/27/2019,Routine Inspection,87,0,0,3,0,Yes
48190,5402,Antojitos Los Tres Hermanos,06/26/2019,Routine Inspection,140,0,2,4,1,No
48177,1475,Burger King #6369,06/26/2019,Routine Inspection,141,2,1,1,0,No
48188,3171,Delray Senior Pavillon,06/26/2019,Routine Inspection,140,0,0,1,0,Yes
48179,51622648,Great Lakes Sport Bar,06/26/2019,Routine Inspection,141,1,2,1,1,No
48182,51622842,Karl's The Siren ,06/26/2019,Preopening/New,122,0,0,0,0,Yes
48189,1046,McDonald's #2071,06/26/2019,Complaint,140,0,0,0,0,Yes
48181,5297,Papa's Pizza,06/26/2019,Routine Inspection,139,2,4,3,3,No
48185,51623028,The Aretha Franklin-Bars,06/26/2019,Routine Inspection,87,0,0,1,0,Yes
48173,3733,Tubby's Submarine,06/26/2019,Routine Inspection,87,0,2,3,2,Yes
48178,4913,Wyoming Fresh Fish,06/26/2019,Routine Inspection,141,0,0,1,0,Yes
48176,4253,Golden Bowl Chop Suey,06/25/2019,Routine Inspection,141,1,0,3,1,Yes
48152,51622612,Greektown Casino 2nd Floor Kitchen,06/25/2019,Routine Inspection,131,1,1,1,2,Yes
48149,5047,Greektown Casino - Banquet Kitchen,06/25/2019,Routine Inspection,139,1,2,6,3,Yes
48156,51622731,Greektown Casino- Bluff Bar,06/25/2019,Routine Inspection,131,0,0,0,0,Yes
48158,3836,Greektown Casino - Fringe,06/25/2019,Routine Inspection,131,0,0,0,0,Yes
48151,4879,Greektown Casino - GT Cafe,06/25/2019,Routine Inspection,131,2,1,2,3,Yes
48150,3831,Greektown Casino - High Limits,06/25/2019,Routine Inspection,131,0,0,0,0,Yes
48148,4478,Greektown Casino - Josephine's,06/25/2019,Routine Inspection,139,1,0,0,1,Yes
48153,3829,Greektown Casino - Monroe Market,06/25/2019,Routine Inspection,131,0,0,0,0,Yes
48160,4460,Greektown Casino - Prism,06/25/2019,Routine Inspection,131,0,0,1,0,Yes
48154,4324,Greektown Casino - Rock Bar,06/25/2019,Routine Inspection,131,0,0,1,0,Yes
48157,3929,Greektown Casino - Sports Bar,06/25/2019,Routine Inspection,131,0,0,0,0,Yes
48159,4645,Greektown Casino - Stack'd,06/25/2019,Routine Inspection,131,1,0,3,1,Yes
48155,3835,Greektown Casino - Trappers Bar,06/25/2019,Routine Inspection,131,1,0,0,1,Yes
48175,5309,Louisiana Creole Gumbo,06/25/2019,Routine Inspection,141,0,3,1,2,No
48195,3751,Manhattan Fish and Chicken,06/25/2019,Routine Inspection,87,0,1,2,1,Yes
48147,4836,McDonald's,06/25/2019,Supv recurringLetter,95,0,0,0,0,Yes
48171,3893,Northeast Guidance Center,06/25/2019,Routine Inspection,87,1,0,5,1,Yes
48169,5319,Cranks,06/24/2019,Routine Inspection,87,1,0,2,1,Yes
48146,619,Lafayette Enterprises Inc,06/24/2019,Routine Inspection,124,3,4,4,3,No
48142,1103,McDonald's #4496,06/24/2019,Routine Inspection,139,0,1,4,1,Yes
48161,51622723,Vitamin Juice ,06/24/2019,Routine Inspection,140,0,1,3,0,No
48138,5291,Cosmic Burrito LLC,06/21/2019,Complaint,122,1,1,0,2,Yes
48139,51622640,Rio's Coney Island,06/21/2019,Routine Inspection,126,0,0,5,0,Yes
48130,1506,United Sisters of Charity,06/21/2019,Routine Inspection,141,0,1,1,0,No
48168,2327,Wendy's ,06/21/2019,Routine Inspection,87,0,0,3,0,Yes
48140,1431,BT'S (Tycoons DBA Celebrity Reservation),06/20/2019,Routine Inspection,126,0,0,4,0,Yes
48124,3431,Checkers Hamburgers #6238,06/20/2019,Routine Inspection,139,1,3,6,1,No
48129,51622884,China House,06/20/2019,Routine Inspection,140,3,2,2,0,No
48131,5231,Detroit Fresh Fish & Seafood Co. Inc.,06/20/2019,Complaint,127,0,0,0,0,Yes
48115,1086,Rocky's Grill Coney Island,06/20/2019,Routine Inspection,141,1,0,2,0,No
48125,2310,Salvation Army - Detroit Temple,06/20/2019,Routine Inspection,142,0,0,1,0,Yes
48121,51622822,Sid Gold's Request Room,06/20/2019,Preopening/New,122,0,0,3,0,Yes
48132,3798,Subway ,06/20/2019,Routine Inspection,127,1,2,0,3,Yes
48126,660,Telway System,06/20/2019,Routine Inspection,142,0,0,0,0,Yes
48128,1556,Uptown Bar B Que,06/20/2019,Routine Inspection,141,1,2,3,0,No
48123,1801,Wendy's ,06/20/2019,Routine Inspection,139,0,0,1,0,Yes
48116,5194,Caucus Club,06/19/2019,Routine Inspection,124,2,4,1,5,No
48165,4412,East English Village Preparatory Academy,06/19/2019,Routine Inspection,87,0,0,0,0,Yes
48127,4409,HF Cafe' Stores LLC/Biggby,06/19/2019,Routine Inspection,142,1,0,2,0,No
48164,1104,Maison Fine Food Inc.,06/19/2019,Complaint,87,0,0,0,0,Yes
48166,833,Marcus Garvey,06/19/2019,Routine Inspection,87,0,0,0,0,Yes
48118,5409,PizzaPlex,06/19/2019,Routine Inspection,140,2,0,1,2,Yes
48167,873,Southeastern High School,06/19/2019,Routine Inspection,87,0,0,0,0,Yes
48162,4927,Davis Aerospace Tech High @ Golightly Te,06/18/2019,Routine Inspection,87,0,0,0,0,Yes
48163,1388,Golightly  Career Tech,06/18/2019,Routine Inspection,87,3,0,15,1,No
48114,4608,Go! Sy Thai,06/18/2019,Routine Inspection,140,1,3,4,1,No
48133,51622610,Island Spice Caribbean Food Restaurant,06/18/2019,Routine Inspection,127,2,3,0,1,No
48117,51622521,Mike's Pizza Bar,06/18/2019,Routine Inspection,124,1,2,1,2,No
48134,2464,Subway #24532,06/18/2019,Routine Inspection,127,2,2,1,4,Yes
48083,827,Central Collegiate Academy 9-12,06/17/2019,Routine Inspection,142,0,0,2,0,Yes
48092,894,Martin Luther King High School,06/17/2019,Routine Inspection,87,0,0,0,0,Yes
48100,1342,Restaurant Nuestra Familia,06/17/2019,Routine Inspection,140,3,3,8,1,No
48120,51622903,Woodward Avenue Market LLC,06/17/2019,Preopening/New,122,0,0,4,0,Yes
48079,661,Burger King ,06/14/2019,Complaint,126,0,0,0,0,Yes
48078,844,Carleton Elementary School,06/14/2019,Routine Inspection,126,0,0,1,0,Yes
48090,1030,Carstens at Remus Robinson School,06/14/2019,Routine Inspection,87,0,0,2,0,Yes
48070,523,Chapeau Vert Lounge,06/14/2019,Routine Inspection,127,0,0,0,0,Yes
48086,1743,Detroit Academy of Arts & Sciences,06/14/2019,Routine Inspection,87,0,0,1,0,Yes
48089,4387,Detroit Academy of Arts & Sciences MS,06/14/2019,Routine Inspection,87,0,0,1,0,Yes
48075,5103,Detroit Water Ice Factory ,06/14/2019,Routine Inspection,131,0,1,1,0,No
48071,51622604,Eat N Out Pizza & Gelato,06/14/2019,Routine Inspection,131,1,1,0,0,No
48072,3387,Jimmy Johns,06/14/2019,Routine Inspection,131,3,0,1,2,No
48076,4836,McDonald's,06/14/2019,Routine Inspection,126,0,1,3,1,Yes
48110,5204,Miss Virginia's Ice Cream Parlor,06/14/2019,Routine Inspection,114,0,0,0,0,Yes
48088,1349,Mudgie's,06/14/2019,Routine Inspection,87,1,0,4,1,Yes
48085,1674,Nicky D's Coney Island,06/14/2019,Complaint,141,2,2,1,2,No
48068,1606,Prelja's Ham Palace,06/14/2019,Routine Inspection,140,1,3,1,0,No
48077,1171,Pulaski Elementary / Middle School,06/14/2019,Routine Inspection,126,0,0,3,0,Yes
48101,4152,Slows To Go,06/14/2019,Routine Inspection,114,0,0,2,0,Yes
48087,4389,Snake Bites,06/14/2019,Routine Inspection,87,0,0,3,0,Yes
48074,5090,Subway,06/14/2019,Routine Inspection,131,0,0,1,0,Yes
48073,4886,Subway,06/14/2019,Routine Inspection,131,0,1,1,1,Yes
48080,843,Wayne Elementary,06/14/2019,Routine Inspection,126,0,0,3,0,Yes
48066,5144,Broderick Grille,06/13/2019,Routine Inspection,131,3,2,6,4,No
48048,1474,Bunche Elementary,06/13/2019,Routine Inspection,87,0,0,3,0,Yes
48095,2653,Burton International,06/13/2019,Routine Inspection,124,0,0,1,0,Yes
48063,5221,Captain Jay's #119,06/13/2019,Routine Inspection,141,3,2,3,5,Yes
48065,4957,Cornerstone Barrel House,06/13/2019,Routine Inspection,131,3,1,4,4,Yes
48045,51622907,Covenant House Academy-Central,06/13/2019,Routine Inspection,87,0,0,0,0,Yes
48051,2592,Crab House,06/13/2019,Routine Inspection,127,2,3,6,5,Yes
48039,3558,David Ellis Academy,06/13/2019,Routine Inspection,141,0,0,1,0,Yes
48040,4761,David Ellis Academy Kindergarten,06/13/2019,Routine Inspection,141,0,0,0,0,Yes
48186,51622982,Del Mar,06/13/2019,Plan Review/Pre-Open,133,0,0,2,0,Yes
48047,1527,Ferguson Building,06/13/2019,Routine Inspection,87,0,0,1,0,Yes
48094,4124,Gateway Deli,06/13/2019,Routine Inspection,124,3,1,5,3,No
48046,839,Hamilton Academy,06/13/2019,Routine Inspection,87,0,0,0,0,Yes
48050,51622724,Kalahari African Restaurant LLC,06/13/2019,Routine Inspection,127,4,7,1,3,No
48042,2646,McDonald's #25135,06/13/2019,Complaint,83,0,0,4,0,Yes
48062,1998,"MLK, Jr. Education Center",06/13/2019,Routine Inspection,141,0,1,0,0,No
48082,1863,New Law Elementary,06/13/2019,Routine Inspection,126,0,0,0,0,Yes
48091,4648,Ottava Via,06/13/2019,Routine Inspection,87,0,0,1,0,Yes
48060,922,Sampson/Webber Academy,06/13/2019,Routine Inspection,142,0,1,1,0,No
48067,2007,Subway #44796,06/13/2019,Routine Inspection,131,1,0,1,1,Yes
48052,1542,Subway #6309,06/13/2019,Routine Inspection,127,0,1,0,0,No
48081,1165,Trix Elementary,06/13/2019,Routine Inspection,126,1,0,1,1,Yes
48064,4843,Wright & Co.,06/13/2019,Routine Inspection,131,2,0,2,2,Yes
48112,1695,Zebee Fish,06/13/2019,Complaint,142,0,0,0,0,Yes
48034,51622619,Detroit Prep,06/12/2019,Routine Inspection,87,0,1,0,1,Yes
48037,1547,Gesu Elementary,06/12/2019,Routine Inspection,141,2,0,0,2,Yes
48097,5322,Go! Sy Thai Griswold. LLC,06/12/2019,Routine Inspection,124,3,2,2,4,No
48035,5394,Ima,06/12/2019,Routine Inspection,87,0,0,2,0,Yes
48041,577,Man Dees Lounge,06/12/2019,Routine Inspection,83,6,4,6,2,No
48059,525,Mexican Village Of Detroit,06/12/2019,Complaint,140,0,0,1,0,Yes
48038,723,Motor City Soul Food,06/12/2019,Routine Inspection,141,3,1,2,4,Yes
48032,4979,Pathway Academy,06/12/2019,Routine Inspection,87,0,0,0,0,Yes
48061,4754,Southwest Detroit Community School (K-8),06/12/2019,Routine Inspection,142,0,0,0,0,Yes
48096,51622522,Sports & Social,06/12/2019,Routine Inspection,124,1,3,3,3,No
48187,51622978,T & M Chicken and Seafood,06/12/2019,Plan Review/Pre-Open,133,0,0,0,0,Yes
48017,3099,AAA Panda Inc.,06/11/2019,Routine Inspection,126,0,0,1,0,Yes
48031,1247,Andrew's on the Corner,06/11/2019,Routine Inspection,87,1,0,2,1,Yes
48036,1436,Blackwell Institute,06/11/2019,Routine Inspection,87,0,0,0,0,Yes
48053,476,Bob's Pizza Palace Inc.,06/11/2019,Routine Inspection,127,1,1,1,2,Yes
48018,845,Brewer Elementary (K-8),06/11/2019,Routine Inspection,126,0,1,1,0,No
48044,51623005,Bull Dogs,06/11/2019,Hot Dog Cart,87,0,0,1,0,Yes
48027,1319,Coleman A. Young Elementary,06/11/2019,Routine Inspection,141,0,0,1,0,Yes
48030,834,Hutchinson Learning Academy,06/11/2019,Routine Inspection,87,0,0,0,0,Yes
48028,51622637,Jam Jomar XXV III (McDonalds),06/11/2019,Complaint,141,0,0,2,0,Yes
48029,1006,John Nichols Elementary,06/11/2019,Routine Inspection,87,0,0,0,0,Yes
48057,51622803,La Posada,06/11/2019,Routine Inspection,140,2,3,6,5,Yes
48056,51622742,Lorent Coney Island,06/11/2019,Routine Inspection,140,2,1,2,3,Yes
48054,4882,Nicky D's Coney Island,06/11/2019,Routine Inspection,127,4,4,5,2,No
48019,5342,Oakland International Academy,06/11/2019,Routine Inspection,126,0,0,0,0,Yes
48021,5344,Oakland International Academy,06/11/2019,Routine Inspection,126,0,0,0,0,Yes
48020,5343,Oakland International Academy,06/11/2019,Routine Inspection,126,0,0,2,0,Yes
48026,1243,Pasteur Elementary School,06/11/2019,Routine Inspection,141,1,0,0,0,No
48103,1092,"St. Patrick Senior Center, Inc.",06/11/2019,Routine Inspection,114,1,1,1,2,Yes
48102,2006,Subway,06/11/2019,Routine Inspection,114,5,5,10,1,No
48015,912,Macdowell Preparatory Academy,06/10/2019,Routine Inspection,141,0,0,1,0,Yes
48055,4784,Universal Academy,06/10/2019,Routine Inspection,140,0,0,0,0,Yes
48009,672,Shelly's Smoking Sausage,06/08/2019,Hot Dog Cart,87,0,0,0,0,Yes
48023,705,First Place Lounge,06/07/2019,Routine Inspection,126,0,0,3,0,Yes
48137,995,Harms School Elementary,06/07/2019,Routine Inspection,140,0,1,5,0,No
48016,4806,Hope Academy,06/07/2019,Routine Inspection,142,0,0,2,0,Yes
48022,4989,Lape Soul Food,06/07/2019,Routine Inspection,126,0,2,2,1,No
